Months,AllLeaked 1,AllOutFlowed 1,Conveyor 1,ConveyorDist 1,InFlow 1,LeakedFraction 1,LeakFlowFraction 1,LeakFraction 1,LeakingFlow 1,OutFlow 1
0,0.0001,0.0001,8,0.0002,1,0.5,0.300031061122,0.3,0.676056338028,1.57746478873
1,0.676156338028,1.57756478873,6.74647887324,2.25372112676,1,0.300017748425,0.269559342108,0.3,0.582042253521,1.57746478873
2,1.25819859155,3.15502957746,5.58697183099,4.41322816901,1,0.28509710882,0.236313823197,0.3,0.488028169014,1.57746478873
3,1.74622676056,4.7324943662,4.52147887324,6.47872112676,1,0.269532632505,0.199897701206,0.3,0.394014084507,1.57746478873
4,2.14024084507,6.30995915493,3.55,8.4502,1,0.253276945524,0.300069993001,0.3,0.3,0.7
5,2.44024084507,7.00995915493,3.55,9.4502,1,0.258221079456,0.300069993001,0.3,0.3,0.7
6,2.74024084507,7.70995915493,3.55,10.4502,1,0.262218985768,0.300069993001,0.3,0.3,0.7
7,3.04024084507,8.40995915493,3.55,11.4502,1,0.265518580031,0.300069993001,0.3,0.3,0.7
8,3.34024084507,9.10995915493,3.55,12.4502,1,0.268288127506,0.300069993001,0.3,0.3,0.7
