Months,AllLeaked,AllOutFlowed,Conveyor,ConveyorDist,InFlow,LeakedFraction,LeakFlowFraction,LeakFraction,LeakingFlow,OutFlow
0,0.0001,0.0001,8,0.0002,0,0.5,0.300031061122,0.3,0.676056338028,1.57746478873
1,0.676156338028,1.57756478873,5.74647887324,2.25372112676,0,0.300017748425,0.243279545373,0.3,0.507042253521,1.57746478873
2,1.18319859155,3.15502957746,3.66197183099,4.33822816901,0,0.272737750402,0.176513579071,0.3,0.338028169014,1.57746478873
3,1.52122676056,4.7324943662,1.74647887324,6.25372112676,0,0.243251454571,0.0968259075488,0.3,0.169014084507,1.57746478873
4,1.69024084507,6.30995915493,0,8.0002,0,0.211274823763,1,0.3,0,0
5,1.69024084507,6.30995915493,0,8.0002,0,0.211274823763,1,0.3,0,0
6,1.69024084507,6.30995915493,0,8.0002,0,0.211274823763,1,0.3,0,0
7,1.69024084507,6.30995915493,0,8.0002,0,0.211274823763,1,0.3,0,0
8,1.69024084507,6.30995915493,0,8.0002,0,0.211274823763,1,0.3,0,0
